公司全称,公司简称,公告日期,风险词汇频数,前后存在无等的风险频数,整个债券书字数,风险部分字数统计,风险自然段落统计,文档名称
南京滨江投资发展有限公司,,2018-12-12,53,5,113577,918,10,2018年南京滨江投资发展有限公司公司债券募集说明书_3419341041157142
公司,,2018-12-10,63,3,96743,1115,10,2018年第一期马鞍山市博望区城市发展投资有限责任公司城市地下综合管廊建设专项债券募集说明书_3415043550895949
临沂振东建设投资有限公司,,2018-12-10,142,6,143358,1814,22,2018年第一期临沂振东建设投资有限公司公司债券募集说明书_3415889878978803
桐乡市崇福皮草产业开发投资有限公司,,2018-12-10,130,12,215948,2186,24,2018年桐乡市崇福皮草产业开发投资有限公司公司债券募集说明书_3414216326062528
宜宾市南溪区财源国有资产经营有限责任公司,,2018-12-10,140,16,284480,2088,22,2018年第二期宜宾市南溪区财源国有资产经营有限责任公司公司债券募集说明书_3415905388301092
伟明环保 股票代码公司,伟明环保,2018-12-06,402,48,485010,7497,75,伟明环保公开发行A股可转换公司债券募集说明书_603568_20181206_4
北京市基础设施投资有限公司,,2018-12-06,102,14,192866,1737,21,2018年第二期北京市基础设施投资有限公司公司债券募集说明书_3414166306045207
北京市基础设施投资有限公司,,2018-12-06,102,14,192866,1737,21,2018年第二期北京市基础设施投资有限公司公司债券募集说明书_3414167252895919
福能股份 股票代码公司,福能股份,2018-12-05,236,12,567310,3508,36,福能股份公开发行可转换公司债券募集说明书_600483_20181205_5
海宁市城市发展投资集团有限公司,,2018-12-05,170,8,230846,2759,28,2018年海宁市城市发展投资集团有限公司公司债券募集说明书_3413202086731523
兴义市信恒城市建设投资有限公司,,2018-12-05,136,16,257086,2078,21,2018年第二期兴义市信恒城市建设投资有限公司公司债券募集说明书_3412467240861454
绵阳安州投资控股集团有限公司,,2018-12-03,108,14,232390,1409,16,2018年第二期绵阳安州投资控股集团有限公司城市停车场建设专项债券募集说明书_3409835734185655
宿迁高新开发投资有限公司,,2018-11-28,108,6,161150,1507,16,2018年第二期宿迁高新开发投资有限公司公司债券募集说明书_3407273739191125
公司,,2018-11-28,120,6,180960,1593,21,2018年青岛市即墨区城市旅游开发投资有限公司城市停车场建设专项债券募集说明书_3407254404195710
海宁市尖山新区开发有限公司,,2018-11-27,150,6,204248,2691,31,2018年第二期海宁市尖山新区开发有限公司公司债券募集说明书_3406363031124768
华晨汽车集团控股有限公司,,2018-11-27,113,12,153153,1714,21,2018年第二期华晨汽车集团控股有限公司公司债券募集说明书_3402991158708041
北京首创股份有限公司,,2018-11-22,214,18,412952,3854,43,首创股份2018年公开发行绿色公司债券募集说明书（面向合格投资者）_600008_20181122_6
北京首创股份有限公司,,2018-11-22,214,18,412952,3854,43,北京首创股份有限公司2018年公开发行绿色公司债券募集说明书_3402801564936537
孟州市投资开发有限公司,,2018-11-21,170,20,203934,2205,25,2018年第二期孟州市投资开发有限公司公司债券募集说明书_3400315713280348
杭州余杭旅游集团有限公司,,2018-11-21,142,20,245056,1843,27,2018年杭州余杭旅游集团有限公司绿色债券募集说明书_3401199955952027
温岭市国有资产投资集团有限公司,,2018-11-21,67,1,92906,1057,12,2018年第二期温岭市国有资产投资集团有限公司公司债券募集说明书_3401038694660848
泰州凤城河建设发展有限公司,,2018-11-21,112,12,202074,1816,20,2018年第一期泰州凤城河建设发展有限公司公司债券募集说明书_3400395047589376
 宁波旭升汽车技术股份有限公司,旭升股份,2018-11-20,102,7,178170,1475,15,旭升股份公开发行可转换公司债券募集说明书_603305_20181120_4
上海市北高新股份有限公司,,2018-11-20,200,26,333312,3335,36,市北高新2018年公开发行公司债券募集说明书（第一期）（面向合格投资者）_600604_20181120_6
枢纽综合开发建设投资有限公司,,2018-11-20,80,14,180562,1345,16,2018年第一期乌鲁木齐高铁枢纽综合开发建设投资有限公司城市停车场专项债券募集说明书_3396119127112652
山鹰国际控股股份公司,山鹰纸业,2018-11-19,296,16,580924,4527,53,山鹰纸业公开发行可转换公司债券募集说明书_600567_20181119_8
公司,圆通速递,2018-11-16,230,14,561276,3215,38,圆通速递公开发行可转换公司债券募集说明书_600233_20181116_4
昆昆集集团团股股份份有有限限公公司,桐昆股份,2018-11-15,196,14,490846,3200,34,桐昆股份公开发行可转换公司债券募集说明书_601233_20181115_6
科森科技 股票代码公司,科森科技,2018-11-14,204,16,401756,3048,34,科森科技公开发行可转换公司债券募集说明书_603626_20181114_3
乌苏市兴融建设投资有限责任公司,,2018-11-12,100,24,222966,1932,20,2018年第一期乌苏市兴融建设投资有限责任公司公司债券募集说明书_3390014342589638
长沙市城北投资有限公司,,2018-11-12,122,10,136302,1750,21,2018年第二期长沙市城北投资有限公司公司债券募集说明书_3390847051267331
彭泽县城市建设投资有限公司,,2018-11-12,54,2,117856,631,8,2018 年第一期彭泽县城市建设投资有限公司公司债券募集说明书_3390883672537883
福建省投资开发集团有限责任公司,,2018-11-09,260,12,430514,4873,44,福建省投资开发集团有限责任公司公开发行2018年纾困专项债券募集说明书_3391633988231677
湖南天易融通创业投资有限公司,,2018-11-08,86,16,177432,1589,17,2018年第二期湖南天易融通创业投资有限公司公司债券募集说明书_3389947341364370
中国邮政集团公司,,2018-11-08,278,6,181592,3245,38,2018年第一期中国邮政集团公司企业债券募集说明书_3389961281707879
公司,,2018-11-06,178,4,333388,2986,29,梦百合公开发行可转换公司债券募集说明书_603313_20181106_6
中国光大集团股份公司,,2018-11-06,386,16,331696,6324,61,中国光大集团股份公司2018年面向合格投资者公开发行公司债券募集说明书（第一期）_3388965363514760
赣州市南康区城市建设发展集团有限公司,,2018-11-06,45,4,69257,724,9,2018年第二期赣州市南康区城市建设发展集团有限公司双创孵化专项债券募集说明书_3385634247629337
北京长久物流股份有限公司,长久物流,2018-11-05,244,10,445380,4404,42,长久物流公开发行可转换公司债券募集说明书_603569_20181105_7
江苏交通控股有限公司,,2018-11-05,146,20,224950,1636,21,2018年第一期江苏交通控股有限公司公司债券募集说明书_3384865592469247
铁龙集装箱物流股份有限公司,铁龙物流,2018-11-05,194,16,296654,3066,26,1.中铁铁龙集装箱物流股份有限公司公开发行2018年公司债券募集说明书（第一期）_3385604497487611
公司,,2018-11-02,88,6,179740,1543,17,2018年成都金融城投资发展有限责任公司专项债券募集说明书_3384781509091518
